form,lemma,pos,gender,number,wcase,person,comp,mood,tense
accordingly,accordingly,CjCRD,,,,,,,
and,and,CjCRD,,,,,,,
and...as_well,and...as_well,CjCRD,,,,,,,
as_well_as,as_well_as,CjCRD,,,,,,,
besides,besides,CjCRD,,,,,,,
both..and,both..and,CjCRD,,,,,,,
but,but,CjCRD,,,,,,,
consequently,consequently,CjCRD,,,,,,,
either…or,either…or,CjCRD,,,,,,,
else,else,CjCRD,,,,,,,
for_example,for_example,CjCRD,,,,,,,
for_instance,for_instance,CjCRD,,,,,,,
further,further,CjCRD,,,,,,,
furthermore,furthermore,CjCRD,,,,,,,
hence,hence,CjCRD,,,,,,,
let_us_say,let_us_say,CjCRD,,,,,,,
let's_say,let's_say,CjCRD,,,,,,,
namely,namely,CjCRD,,,,,,,
neither…nor,neither…nor,CjCRD,,,,,,,
no_less_than,no_less_than,CjCRD,,,,,,,
nor,nor,CjCRD,,,,,,,
not_only…but…too,not_only…but…too,CjCRD,,,,,,,
not…but_also,not…but_also,CjCRD,,,,,,,
not…either,not…either,CjCRD,,,,,,,
on_that_account,on_that_account,CjCRD,,,,,,,
or,or,CjCRD,,,,,,,
or_else,or_else,CjCRD,,,,,,,
otherwise,otherwise,CjCRD,,,,,,,
say,say,CjCRD,,,,,,,
so,so,CjCRD,,,,,,,
such_as,such_as,CjCRD,,,,,,,
that_is,that_is,CjCRD,,,,,,,
that_is_to_say,that_is_to_say,CjCRD,,,,,,,
that_is_why,that_is_why,CjCRD,,,,,,,
then,then,CjCRD,,,,,,,
therefore,therefore,CjCRD,,,,,,,
whereas,whereas,CjCRD,,,,,,,
while,while,CjCRD,,,,,,,
